policy,valid_ids,evidence_recall,target_availability,context_tokens_estimate,selected_tracks,input_tokens,output_tokens,support,coverage,overclaim,abstained,citations_span_halves,answer_within_90_words,input_token_reduction_vs_full
full,1.0,0.5416666666666666,1.0,2955.0,14.0,3456.583333333333,125.97222222222221,2.805555555555556,3.2777777777777777,0.5277777777777778,0.0,0.7777777777777777,1.0,0.0
recent3,1.0,0.25,0.25,635.25,3.0,886.3333333333334,123.88888888888889,2.1944444444444446,3.2222222222222223,0.5277777777777777,0.0,0.0,1.0,0.7435810892258733
selective6,1.0,0.6527777777777778,0.75,1270.6666666666667,6.0,1589.6666666666667,124.22222222222223,2.7222222222222223,3.388888888888889,0.4722222222222222,0.0,0.75,0.9722222222222222,0.5401046312591913
summary,0.8055555555555556,0.05555555555555555,0.375,213.0,6.5,395.3333333333333,119.19444444444444,2.0277777777777777,2.861111111111111,0.611111111111111,0.25,0.0,1.0,0.8856288724414764
