album,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Rubber Soul,0.3464052287581699,0.12418300653594772,0.12418300653594772,0.0,0.0718954248366013,0.006535947712418301,0.0392156862745098,0.006535947712418301,0.0,0.05228758169934641,0.10457516339869281,0.0,0.0392156862745098,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.026143790849673203,0.0392156862745098,0.006535947712418301,0.0
Revolver,0.41954022988505746,0.1206896551724138,0.040229885057471264,0.0,0.07471264367816093,0.04597701149425287,0.017241379310344827,0.011494252873563218,0.0,0.028735632183908046,0.0,0.005747126436781609,0.0,0.0,0.0,0.09195402298850575,0.011494252873563218,0.05172413793103448,0.0,0.08045977011494253,0.0,0.0,0.0,0.0
Sgt. Pepper's Lonely Hearts Club Band,0.32978723404255317,0.09574468085106383,0.07092198581560284,0.09574468085106383,0.014184397163120567,0.05673758865248227,0.02127659574468085,0.05319148936170213,0.0425531914893617,0.010638297872340425,0.0070921985815602835,0.0,0.03900709219858156,0.0,0.05673758865248227,0.0,0.0,0.0035460992907801418,0.05319148936170213,0.0,0.028368794326241134,0.02127659574468085,0.0,0.0
Abbey Road,0.42857142857142855,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.04591836734693878,0.02040816326530612,0.04081632653061224,0.015306122448979591,0.00510204081632653,0.09183673469387756,0.0,0.08163265306122448,0.0,0.0,0.061224489795918366,0.025510204081632654,0.0,0.0,0.00510204081632653,0.00510204081632653,0.061224489795918366,0.061224489795918366
