album,policy,valid_ids,evidence_recall,target_availability,context_tokens_estimate,selected_tracks,input_tokens,output_tokens,support,coverage,overclaim,abstained,citations_span_halves,answer_within_90_words
beatles,full,1.0,0.4444444444444445,1.0,3557.0,17.0,4135.333333333333,128.22222222222223,2.6666666666666665,3.222222222222222,0.6666666666666666,0.0,0.6666666666666666,1.0
beatles,recent3,1.0,0.16666666666666666,0.16666666666666666,633.0,3.0,889.3333333333334,126.77777777777777,2.0,3.111111111111111,0.7777777777777777,0.0,0.0,1.0
beatles,selective6,1.0,0.7222222222222222,0.8333333333333334,1252.6666666666667,6.0,1576.0,128.11111111111111,2.222222222222222,3.2222222222222228,0.6666666666666666,0.0,0.7777777777777778,0.8888888888888888
beatles,summary,1.0,0.0,1.0,192.0,17.0,376.3333333333333,108.1111111111111,1.888888888888889,2.5555555555555554,0.3333333333333333,0.6666666666666666,0.0,1.0
natalia,full,1.0,0.3333333333333333,1.0,2554.0,12.0,3006.6666666666665,128.55555555555554,2.3333333333333335,3.0,0.6666666666666666,0.0,1.0,1.0
natalia,recent3,1.0,0.3333333333333333,0.3333333333333333,654.0,3.0,906.6666666666666,125.55555555555556,2.444444444444444,3.444444444444444,0.2222222222222222,0.0,0.0,1.0
natalia,selective6,1.0,0.5,0.5,1295.3333333333333,6.0,1613.0,122.33333333333333,2.888888888888889,3.3333333333333335,0.3333333333333333,0.0,1.0,1.0
natalia,summary,1.0,0.2222222222222222,0.5,300.0,6.0,483.6666666666667,124.8888888888889,2.444444444444444,3.111111111111111,0.7777777777777777,0.0,0.0,1.0
rhcp,full,1.0,0.5555555555555555,1.0,3136.0,15.0,3646.3333333333335,121.55555555555554,2.8888888888888893,3.222222222222222,0.3333333333333333,0.0,0.5555555555555555,1.0
rhcp,recent3,1.0,0.0,0.0,626.0,3.0,869.3333333333334,120.44444444444446,2.0,3.0,0.6666666666666666,0.0,0.0,1.0
rhcp,selective6,1.0,0.5,0.6666666666666666,1254.0,6.0,1564.0,122.8888888888889,2.222222222222222,3.1111111111111107,0.7777777777777778,0.0,0.3333333333333333,1.0
rhcp,summary,1.0,0.0,0.0,194.0,2.0,374.3333333333333,124.0,1.3333333333333333,2.4444444444444446,1.0,0.0,0.0,1.0
roach,full,1.0,0.8333333333333334,1.0,2573.0,12.0,3038.0,125.55555555555554,3.3333333333333335,3.6666666666666665,0.4444444444444444,0.0,0.8888888888888888,1.0
roach,recent3,1.0,0.5,0.5,628.0,3.0,880.0,122.77777777777779,2.3333333333333335,3.3333333333333335,0.4444444444444444,0.0,0.0,1.0
roach,selective6,1.0,0.888888888888889,1.0,1280.6666666666667,6.0,1605.6666666666667,123.55555555555556,3.555555555555556,3.888888888888889,0.1111111111111111,0.0,0.8888888888888888,1.0
roach,summary,0.2222222222222222,0.0,0.0,166.0,1.0,347.0,119.77777777777777,2.4444444444444446,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.0
