model,stratum,n,agreement,kappa,false_break_rate,missed_break_rate
OPENAI,all,382,0.7801047120418848,0.5602094240837696,0.12827225130890052,0.09162303664921466
OPENAI,same-lang,183,0.8524590163934426,0.6852665774890121,0.060109289617486336,0.08743169398907104
OPENAI,switch,199,0.7135678391959799,0.37610692481161645,0.19095477386934673,0.09547738693467336
LABSE,all,382,0.8036649214659686,0.6073298429319371,0.11518324607329843,0.08115183246073299
LABSE,same-lang,183,0.825136612021858,0.6355489171023152,0.09836065573770492,0.07650273224043716
LABSE,switch,199,0.7839195979899497,0.5397235221343661,0.1306532663316583,0.08542713567839195
