model,dim,theta,p_break_same,p_break_switch,gap,rel_gap,n_same,n_switch
OpenAI 3-large,3072,0.32007402181625366,0.36065573770491804,0.6984924623115578,0.33783672460663977,1.936729100045683,183,199
LaBSE,768,0.32299089431762695,0.4098360655737705,0.6482412060301508,0.23840514045638028,1.581708542713568,183,199
BGE-M3,1024,0.5176416635513306,0.4262295081967213,0.7738693467336684,0.3476398385369471,1.8156165442597605,183,199
E5 multilingual large,1024,0.8556703925132751,0.37158469945355194,0.48743718592964824,0.1158524864760963,1.311779485663612,183,199
MPNet multilingual,768,0.4397696256637573,0.4098360655737705,0.7336683417085427,0.32383227613477217,1.7901507537688441,183,199
