threshold,artist,mean,median,std,count
0.75,Pink Floyd,8.802884615384615,6.0,8.784296008963695,208
0.75,The Beatles,9.215880893300248,7.0,8.861597281181195,403
0.8,Pink Floyd,0.9086538461538461,0.0,1.6407616104137,208
0.8,The Beatles,1.1339950372208436,0.0,2.091658550651283,403
0.85,Pink Floyd,0.25,0.0,0.9655916060936183,208
0.85,The Beatles,0.56575682382134,0.0,1.4753424799874637,403
0.9,Pink Floyd,0.04807692307692308,0.0,0.23589925354347968,208
0.9,The Beatles,0.4491315136476427,0.0,1.3174179442663843,403
0.95,Pink Floyd,0.009615384615384616,0.0,0.0978209255833176,208
0.95,The Beatles,0.3548387096774194,0.0,1.287384313032867,403
