threshold,album,artist,song,attention_window
0.75,Abbey Road,The Beatles,Here Comes the Sun,5
0.75,Abbey Road,The Beatles,Here Comes the Sun,4
0.75,Abbey Road,The Beatles,Here Comes the Sun,12
0.75,Abbey Road,The Beatles,Here Comes the Sun,2
0.75,Abbey Road,The Beatles,Here Comes the Sun,10
0.75,Abbey Road,The Beatles,Here Comes the Sun,0
0.75,Abbey Road,The Beatles,Here Comes the Sun,0
0.75,Abbey Road,The Beatles,Here Comes the Sun,7
0.75,Abbey Road,The Beatles,Here Comes the Sun,6
0.75,Abbey Road,The Beatles,Here Comes the Sun,5
0.75,Abbey Road,The Beatles,Here Comes the Sun,4
0.75,Abbey Road,The Beatles,Here Comes the Sun,3
0.75,Abbey Road,The Beatles,Here Comes the Sun,2
0.75,Abbey Road,The Beatles,Here Comes the Sun,1
0.75,Abbey Road,The Beatles,Here Comes the Sun,0
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),13
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),11
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),11
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),9
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),8
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),26
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),6
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),5
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),5
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),4
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),2
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),20
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),19
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),11
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),9
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),8
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),8
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),14
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),13
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),5
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),11
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),2
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),2
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),8
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),7
