album,artist,song,line_number,attention_window
Abbey Road,The Beatles,Here Comes the Sun,20,1
Abbey Road,The Beatles,Here Comes the Sun,21,0
Abbey Road,The Beatles,Here Comes the Sun,22,0
Abbey Road,The Beatles,Here Comes the Sun,23,4
Abbey Road,The Beatles,Here Comes the Sun,24,3
Abbey Road,The Beatles,Here Comes the Sun,25,2
Abbey Road,The Beatles,Here Comes the Sun,26,1
Abbey Road,The Beatles,Here Comes the Sun,27,0
Abbey Road,The Beatles,Here Comes the Sun,28,0
Abbey Road,The Beatles,Here Comes the Sun,29,0
Abbey Road,The Beatles,Here Comes the Sun,30,0
Abbey Road,The Beatles,Here Comes the Sun,31,0
Abbey Road,The Beatles,Here Comes the Sun,32,0
Abbey Road,The Beatles,Here Comes the Sun,33,1
Abbey Road,The Beatles,Here Comes the Sun,34,0
Abbey Road,The Beatles,Here Comes the Sun,35,0
Abbey Road,The Beatles,Here Comes the Sun,36,0
Abbey Road,The Beatles,Here Comes the Sun,37,1
Abbey Road,The Beatles,Here Comes the Sun,38,0
Abbey Road,The Beatles,Here Comes the Sun,39,1
Abbey Road,The Beatles,Here Comes the Sun,40,0
Abbey Road,The Beatles,I Want You (She's So Heavy),1,1
Abbey Road,The Beatles,I Want You (She's So Heavy),2,0
Abbey Road,The Beatles,I Want You (She's So Heavy),3,0
Abbey Road,The Beatles,I Want You (She's So Heavy),4,1
Abbey Road,The Beatles,I Want You (She's So Heavy),5,0
Abbey Road,The Beatles,I Want You (She's So Heavy),6,0
Abbey Road,The Beatles,I Want You (She's So Heavy),7,1
Abbey Road,The Beatles,I Want You (She's So Heavy),8,0
Abbey Road,The Beatles,I Want You (She's So Heavy),9,0
Abbey Road,The Beatles,I Want You (She's So Heavy),10,1
Abbey Road,The Beatles,I Want You (She's So Heavy),11,0
Abbey Road,The Beatles,I Want You (She's So Heavy),12,0
Abbey Road,The Beatles,I Want You (She's So Heavy),13,0
Abbey Road,The Beatles,I Want You (She's So Heavy),14,3
Abbey Road,The Beatles,I Want You (She's So Heavy),15,2
Abbey Road,The Beatles,I Want You (She's So Heavy),16,1
Abbey Road,The Beatles,I Want You (She's So Heavy),17,0
Abbey Road,The Beatles,I Want You (She's So Heavy),18,0
Abbey Road,The Beatles,I Want You (She's So Heavy),19,0
Abbey Road,The Beatles,I Want You (She's So Heavy),20,0
Abbey Road,The Beatles,I Want You (She's So Heavy),21,0
Abbey Road,The Beatles,I Want You (She's So Heavy),22,1
Abbey Road,The Beatles,I Want You (She's So Heavy),23,0
Abbey Road,The Beatles,I Want You (She's So Heavy),24,0
Abbey Road,The Beatles,I Want You (She's So Heavy),25,1
Abbey Road,The Beatles,I Want You (She's So Heavy),26,0
Abbey Road,The Beatles,I Want You (She's So Heavy),27,0
Abbey Road,The Beatles,I Want You (She's So Heavy),28,1
Abbey Road,The Beatles,I Want You (She's So Heavy),29,0
Abbey Road,The Beatles,I Want You (She's So Heavy),30,0
Abbey Road,The Beatles,I Want You (She's So Heavy),31,0
Abbey Road,The Beatles,I Want You (She's So Heavy),32,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,1,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,2,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,3,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,4,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,5,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,6,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,7,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,8,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,9,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,10,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,11,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,12,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,13,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,14,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,15,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,16,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,17,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,18,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,19,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,20,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,21,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,22,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,23,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,24,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,25,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,26,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,27,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,28,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,29,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,30,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,31,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,32,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,33,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,34,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,35,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,36,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,37,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,38,0
