album,artist,song,line_number,attention_window
The Dark Side of the Moon,Pink Floyd,Money,25,0
The Dark Side of the Moon,Pink Floyd,Money,26,0
The Dark Side of the Moon,Pink Floyd,Money,27,0
The Dark Side of the Moon,Pink Floyd,Money,28,0
The Dark Side of the Moon,Pink Floyd,Money,29,0
The Dark Side of the Moon,Pink Floyd,Money,30,0
The Dark Side of the Moon,Pink Floyd,Money,31,0
The Dark Side of the Moon,Pink Floyd,Money,32,0
The Dark Side of the Moon,Pink Floyd,Money,33,1
The Dark Side of the Moon,Pink Floyd,Money,34,0
The Dark Side of the Moon,Pink Floyd,Money,35,0
The Dark Side of the Moon,Pink Floyd,Money,36,0
The Dark Side of the Moon,Pink Floyd,Money,37,0
The Dark Side of the Moon,Pink Floyd,Money,38,0
The Dark Side of the Moon,Pink Floyd,Money,39,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,1,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,2,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,3,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,4,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,5,0
The Dark Side of the Moon,Pink Floyd,The Great Gig in the Sky,6,0
The Dark Side of the Moon,Pink Floyd,Time,1,1
The Dark Side of the Moon,Pink Floyd,Time,2,0
The Dark Side of the Moon,Pink Floyd,Time,3,0
The Dark Side of the Moon,Pink Floyd,Time,4,0
The Dark Side of the Moon,Pink Floyd,Time,5,0
The Dark Side of the Moon,Pink Floyd,Time,6,0
The Dark Side of the Moon,Pink Floyd,Time,7,0
The Dark Side of the Moon,Pink Floyd,Time,8,0
The Dark Side of the Moon,Pink Floyd,Time,9,0
The Dark Side of the Moon,Pink Floyd,Time,10,0
The Dark Side of the Moon,Pink Floyd,Time,11,0
The Dark Side of the Moon,Pink Floyd,Time,12,0
The Dark Side of the Moon,Pink Floyd,Time,13,0
The Dark Side of the Moon,Pink Floyd,Time,14,0
The Dark Side of the Moon,Pink Floyd,Time,15,0
The Dark Side of the Moon,Pink Floyd,Time,16,0
The Dark Side of the Moon,Pink Floyd,Time,17,0
The Dark Side of the Moon,Pink Floyd,Time,18,0
The Dark Side of the Moon,Pink Floyd,Time,19,0
The Dark Side of the Moon,Pink Floyd,Time,20,0
The Dark Side of the Moon,Pink Floyd,Time,21,0
The Dark Side of the Moon,Pink Floyd,Time,22,0
The Dark Side of the Moon,Pink Floyd,Time,23,0
The Dark Side of the Moon,Pink Floyd,Time,24,0
The Dark Side of the Moon,Pink Floyd,Time,25,0
The Dark Side of the Moon,Pink Floyd,Time,26,0
The Dark Side of the Moon,Pink Floyd,Time,27,0
The Dark Side of the Moon,Pink Floyd,Time,28,0
The Dark Side of the Moon,Pink Floyd,Time,29,0
The Dark Side of the Moon,Pink Floyd,Time,30,0
The Dark Side of the Moon,Pink Floyd,Time,31,0
The Dark Side of the Moon,Pink Floyd,Time,32,0
The Dark Side of the Moon,Pink Floyd,Time,33,0
The Dark Side of the Moon,Pink Floyd,Time,34,0
The Dark Side of the Moon,Pink Floyd,Time,35,0
The Dark Side of the Moon,Pink Floyd,Time,36,0
The Dark Side of the Moon,Pink Floyd,Time,37,0
The Dark Side of the Moon,Pink Floyd,Time,38,0
The Dark Side of the Moon,Pink Floyd,Time,39,0
The Dark Side of the Moon,Pink Floyd,Time,40,0
The Dark Side of the Moon,Pink Floyd,Time,41,0
The Dark Side of the Moon,Pink Floyd,Time,42,0
The Dark Side of the Moon,Pink Floyd,Time,43,0
The Dark Side of the Moon,Pink Floyd,Us and Them,1,0
The Dark Side of the Moon,Pink Floyd,Us and Them,2,0
The Dark Side of the Moon,Pink Floyd,Us and Them,3,0
The Dark Side of the Moon,Pink Floyd,Us and Them,4,0
The Dark Side of the Moon,Pink Floyd,Us and Them,5,0
The Dark Side of the Moon,Pink Floyd,Us and Them,6,0
The Dark Side of the Moon,Pink Floyd,Us and Them,7,0
The Dark Side of the Moon,Pink Floyd,Us and Them,8,0
The Dark Side of the Moon,Pink Floyd,Us and Them,9,0
The Dark Side of the Moon,Pink Floyd,Us and Them,10,0
The Dark Side of the Moon,Pink Floyd,Us and Them,11,0
The Dark Side of the Moon,Pink Floyd,Us and Them,12,0
The Dark Side of the Moon,Pink Floyd,Us and Them,13,0
The Dark Side of the Moon,Pink Floyd,Us and Them,14,0
The Dark Side of the Moon,Pink Floyd,Us and Them,15,0
The Dark Side of the Moon,Pink Floyd,Us and Them,16,0
The Dark Side of the Moon,Pink Floyd,Us and Them,17,0
The Dark Side of the Moon,Pink Floyd,Us and Them,18,0
The Dark Side of the Moon,Pink Floyd,Us and Them,19,0
The Dark Side of the Moon,Pink Floyd,Us and Them,20,0
The Dark Side of the Moon,Pink Floyd,Us and Them,21,0
The Dark Side of the Moon,Pink Floyd,Us and Them,22,0
The Dark Side of the Moon,Pink Floyd,Us and Them,23,0
The Dark Side of the Moon,Pink Floyd,Us and Them,24,0
The Dark Side of the Moon,Pink Floyd,Us and Them,25,0
The Dark Side of the Moon,Pink Floyd,Us and Them,26,0
The Dark Side of the Moon,Pink Floyd,Us and Them,27,0
The Dark Side of the Moon,Pink Floyd,Us and Them,28,0
The Dark Side of the Moon,Pink Floyd,Us and Them,29,0
The Dark Side of the Moon,Pink Floyd,Us and Them,30,0
The Dark Side of the Moon,Pink Floyd,Us and Them,31,0
The Dark Side of the Moon,Pink Floyd,Us and Them,32,0
